Experiment,Model,Sample Size,SHAP Match %,Top Features
Auto Premium,Random Forest,100,80.0,"Age: 188.6766, Annual kilometers: 33.4975, Number of Claims: 23.0501, Business Use: 20.1384, State: 17.4104"
Auto Premium,XGBoost,100,80.0,"Age: 181.8897, Annual kilometers: 125.3517, Business Use: 51.3260, Gender: 33.2118, Year: 25.6920"
Auto Premium,Gradient Boosting,100,80.0,"Age: 184.4977, Annual kilometers: 128.7524, Business Use: 54.3859, Gender: 29.8478, Year: 20.9817"
Auto Premium,CatBoost,100,80.0,"Age: 117.4974, Annual kilometers: 82.9695, Business Use: 60.0672, Gender: 38.3378, Number of Claims: 34.1670"
Auto Premium,ElasticNet,100,60.0,"Age: 140.4569, Number of Claims: 73.3249, Sum Insured Amount: 54.7116, Gender: 30.8676, State: 29.4669"
Auto Premium,MLPRegressor,100,40.0,"Sum Insured Amount: 368.7006, Age: 1.6497, Year: 0.6458, Number of Claims: 0.3852, Annual kilometers: 0.2547"
Auto Premium,Ridge,100,60.0,"Age: 125.5395, Number of Claims: 89.3664, Gender: 87.0357, Sum Insured Amount: 65.0941, Business Use: 45.4768"
Auto Premium,ExtraTrees,100,80.0,"Age: 113.7258, Gender: 96.2778, Business Use: 57.9373, Annual kilometers: 41.3706, Number of Claims: 25.3154"
Auto Premium,HistGradientBoosting,100,80.0,"Age: 169.5208, Annual kilometers: 93.8050, Business Use: 54.8792, Gender: 49.8659, Number of Claims: 40.6000"
Auto Premium,Random Forest,500,80.0,"Age: 189.4381, Business Use: 110.5823, Annual kilometers: 108.4026, State: 68.6980, Sum Insured Amount: 9.8490"
Auto Premium,XGBoost,500,100.0,"Age: 182.5302, Annual kilometers: 177.1418, Business Use: 103.2462, State: 86.0633, Gender: 14.4615"
Auto Premium,Gradient Boosting,500,100.0,"Age: 182.8632, Annual kilometers: 178.4857, Business Use: 105.3047, State: 86.0572, Gender: 14.7728"
Auto Premium,CatBoost,500,100.0,"Annual kilometers: 176.8474, Age: 168.6721, Business Use: 104.8578, State: 79.6574, Gender: 17.8802"
Auto Premium,ElasticNet,500,80.0,"Age: 165.4546, State: 62.4738, Business Use: 45.4558, Annual kilometers: 40.0969, Sum Insured Amount: 17.6256"
Auto Premium,MLPRegressor,500,40.0,"Sum Insured Amount: 26.1745, Age: 6.4552, Year: 3.1119, Number of Claims: 0.6598, Business Use: 0.4223"
Auto Premium,Ridge,500,100.0,"Age: 161.9165, Business Use: 81.0670, State: 73.6436, Annual kilometers: 48.6276, Gender: 24.6267"
Auto Premium,ExtraTrees,500,80.0,"Age: 173.3787, Annual kilometers: 118.8620, Business Use: 114.1541, State: 54.8140, Sum Insured Value Type: 14.7589"
Auto Premium,HistGradientBoosting,500,100.0,"Annual kilometers: 183.4579, Age: 180.5419, Business Use: 103.5880, State: 85.6483, Gender: 20.0489"
Auto Premium,Random Forest,1000,80.0,"Age: 185.2563, Annual kilometers: 168.9461, Business Use: 105.1379, State: 27.2014, Sum Insured Amount: 6.1941"
Auto Premium,XGBoost,1000,100.0,"Annual kilometers: 192.3623, Age: 185.3628, Business Use: 108.7011, State: 70.6968, Gender: 14.0927"
Auto Premium,Gradient Boosting,1000,100.0,"Annual kilometers: 193.0887, Age: 186.1837, Business Use: 108.5009, State: 73.0609, Gender: 15.0889"
Auto Premium,CatBoost,1000,100.0,"Annual kilometers: 191.7921, Age: 182.4574, Business Use: 110.6564, State: 71.2020, Gender: 14.7195"
Auto Premium,ElasticNet,1000,60.0,"Age: 172.2762, Annual kilometers: 84.1906, Business Use: 32.0580, Sum Insured Amount: 9.5574, Hire Car: 7.3896"
Auto Premium,MLPRegressor,1000,40.0,"Sum Insured Amount: 8.5875, Age: 5.5183, Year: 3.2713, Number of Claims: 0.5882, State: 0.5381"
Auto Premium,Ridge,1000,80.0,"Age: 172.0080, Annual kilometers: 106.4066, Business Use: 56.4131, Hire Car: 24.8542, Gender: 17.7021"
Auto Premium,ExtraTrees,1000,100.0,"Annual kilometers: 180.7647, Age: 176.2803, Business Use: 106.0517, State: 21.6553, Gender: 9.8502"
Auto Premium,HistGradientBoosting,1000,100.0,"Annual kilometers: 191.2259, Age: 186.5616, Business Use: 110.8233, State: 71.5087, Gender: 15.1700"
Auto Premium,Random Forest,2000,100.0,"Annual kilometers: 184.5792, Age: 182.9784, Business Use: 108.6568, State: 30.8964, Gender: 7.3848"
Auto Premium,XGBoost,2000,100.0,"Annual kilometers: 191.3472, Age: 181.2190, Business Use: 107.0071, State: 82.3960, Gender: 13.7513"
Auto Premium,Gradient Boosting,2000,100.0,"Annual kilometers: 192.1286, Age: 180.0696, Business Use: 105.8562, State: 80.7081, Gender: 14.6462"
Auto Premium,CatBoost,2000,100.0,"Annual kilometers: 196.4694, Age: 181.6096, Business Use: 108.7610, State: 86.9712, Gender: 17.2783"
Auto Premium,ElasticNet,2000,80.0,"Age: 167.3065, Annual kilometers: 35.7381, Business Use: 29.2393, Sum Insured Amount: 10.3744, State: 10.2795"
Auto Premium,MLPRegressor,2000,40.0,"Age: 24.4806, Sum Insured Amount: 13.9637, Year: 4.3686, Annual kilometers: 1.7700, Number of Claims: 1.0512"
Auto Premium,Ridge,2000,80.0,"Age: 166.3618, Business Use: 50.9603, Annual kilometers: 45.3568, Gender: 18.9928, Payment Frequency: 13.4195"
Auto Premium,ExtraTrees,2000,100.0,"Annual kilometers: 188.7925, Age: 175.6547, Business Use: 109.7472, State: 28.2071, Gender: 14.9588"
Auto Premium,HistGradientBoosting,2000,100.0,"Annual kilometers: 195.3511, Age: 182.4898, Business Use: 108.8611, State: 89.2248, Gender: 18.2318"
Cyber Security,Random Forest,100,60.0,"Company Size: 975.4526, Previous Cyber Incidents: 20.7110, Security Score: 19.5343, Business Interruption Cost: 10.5233, Compliance Standard: 9.6395"
Cyber Security,XGBoost,100,80.0,"Company Size: 1060.6858, Security Score: 21.1547, Industry Risk: 18.4062, Business Interruption Cost: 16.5098, Compliance Standard: 4.8197"
